Date,close_avax-usd,high_avax-usd,low_avax-usd,open_avax-usd,volume_avax-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,21.36518669128418,21.844970703125,20.878236770629883,21.173091888427734,449947551,21.36518669128418,21.173091888427734,21.844970703125,20.878236770629883,449947551,20.19450454711914,20.091239461740745,70.83203786544603,1.90823402697011,1.8194683700719252,18.57080717086792,22.3585826584213,14.783031683314535,78.04106304051291,81.17031822369592,113.6577710109176,76.88009518619698,-21.958936959487083,0
2023-02-04,21.024635314941406,21.61928367614746,20.99332046508789,21.362613677978516,270970237,21.024635314941406,21.362613677978516,21.61928367614746,20.99332046508789,270970237,20.51657905578613,20.26094779868632,68.14590052397601,1.865425465308558,1.8286597891192518,18.78218307495117,22.62192048341922,14.94244566648312,72.46020662174817,76.02754660106477,94.87585518420543,76.57469298227363,-27.53979337825183,0
2023-02-05,20.108016967773438,21.118896484375,19.77849578857422,21.025434494018555,341651159,20.108016967773438,21.025434494018555,21.118896484375,19.77849578857422,341651159,20.716577339172364,20.233142193065795,61.39695532219829,1.7375070321494057,1.8104292377252826,18.950544548034667,22.71196834123886,15.189120754830473,57.43893305860451,69.31340090695521,54.51179986109875,74.61072635102701,-42.56106694139549,0
2023-02-06,19.58503532409668,20.370624542236328,19.560394287109375,20.107219696044922,228201924,19.58503532409668,20.107219696044922,20.370624542236328,19.560394287109375,228201924,20.549670600891112,20.115304580525954,57.87510769520471,1.5757660541713001,1.7634966010144864,19.07346668243408,22.7481129431181,15.39882042175006,48.868462739694856,59.589200806682506,30.871946090957966,72.51363862396538,-51.131537260305144,1
2023-02-07,20.845218658447266,20.917795181274414,19.570659637451172,19.580888748168945,316667706,20.845218658447266,19.580888748168945,20.917795181274414,19.570659637451172,316667706,20.573696517944335,20.2480162310571,63.333066875474856,1.5316159122942423,1.7171204632704375,19.325511074066164,22.751775921218076,15.89924622691425,69.51997889522505,58.60912489784147,50.53396676332195,70.82002044548648,-30.480021104774956,0
2023-02-08,20.08147430419922,20.995512008666992,19.73801040649414,20.844480514526367,257585287,20.08147430419922,20.844480514526367,20.995512008666992,19.73801040649414,257585287,20.473866081237794,20.217735880719303,58.39490418121911,1.4186455573531767,1.6574254820869854,19.519767093658448,22.641356491827384,16.39817769548951,48.34204400060537,55.57682854517509,38.195200353626376,69.28330385501853,-51.65795599939463,0
2023-02-09,17.874452590942383,20.20979118347168,17.66394805908203,20.085739135742188,387714367,17.874452590942383,20.085739135742188,20.20979118347168,17.66394805908203,387714367,20.287394332885743,19.791684373487136,46.99228300435766,1.13791040689906,1.5535224670494003,19.537425994873047,22.617310815781195,16.4575411739649,4.887662623219608,40.91656183968335,-52.91536907669929,65.50804953856665,-95.11233737678039,0
2023-02-10,17.79853057861328,18.22443389892578,17.62877082824707,17.87581443786621,232811782,17.79853057861328,17.87581443786621,18.22443389892578,17.62877082824707,232811782,20.0827974319458,19.42929277441916,46.65478460077756,0.8989371181591927,1.422605397271359,19.582529067993164,22.529964252689886,16.63509388329644,3.344110524763431,18.85793904952947,-95.60389840489954,61.96914259389738,-96.65588947523656,1
2023-02-11,18.029085159301758,18.073793411254883,17.703311920166016,17.802188873291016,134054933,18.029085159301758,17.802188873291016,18.073793411254883,17.703311920166016,134054933,19.7891695022583,19.17470957167054,47.87897468294739,0.719854854293601,1.2820552886758074,19.61586971282959,22.475879732511892,16.755859693147286,7.8858231400890855,5.372532096024042,-95.9341774070716,58.68301471670448,-92.11417685991091,0
2023-02-12,17.76869773864746,18.466371536254883,17.615549087524414,18.027767181396484,259289328,17.76869773864746,18.027767181396484,18.466371536254883,17.615549087524414,259289328,19.448033332824707,18.919071056575433,46.578884744659035,0.550573117089801,1.1357588543586061,19.603975296020508,22.492494206987132,16.715456385053884,3.0090499348490134,4.746327866567177,-95.6622843522159,55.927485362656554,-96.99095006515098,0
2023-02-13,17.6209716796875,17.84229278564453,16.933635711669922,17.770370483398438,245266831,17.6209716796875,17.770370483398438,17.84229278564453,16.933635711669922,245266831,19.07361183166504,18.683052988050353,45.81874482759943,0.3998862229294531,0.9885843280727755,19.63405818939209,22.42516679502965,16.842949583754528,11.90910845437577,7.601327176437956,-121.85806643256088,52.64453284246152,-88.09089154562423,1
2023-02-14,18.147031784057617,18.257169723510742,17.377979278564453,17.61852264404297,249864205,18.147031784057617,17.61852264404297,18.257169723510742,17.377979278564453,249864205,18.78585147857666,18.5855945873244,49.00993687628235,0.31923449112474955,0.8547143606831704,19.651215267181396,22.401025504277932,16.90140503008486,21.02387492663427,11.980677771953019,-99.02662557136554,49.93314887917369,-78.97612507336572,1
2023-02-15,19.923646926879883,19.923646926879883,17.93962287902832,18.145700454711914,256514870,19.923646926879883,18.145700454711914,19.923646926879883,17.93962287902832,256514870,18.767414474487303,18.828876830879942,58.00568107859811,0.39413209735902655,0.7625979080183417,19.741995906829835,22.400389038352323,17.083602775307348,51.80635016735317,28.246444516121073,-26.780662717827315,48.541742897809065,-48.19364983264683,0
2023-02-16,18.614831924438477,20.31131935119629,18.583778381347656,19.923826217651367,362001305,18.614831924438477,19.923826217651367,20.31131935119629,18.583778381347656,362001305,18.670394134521484,18.789959575163312,50.88371432324919,0.34391412942919786,0.678861152300513,19.6100323677063,22.216601544376033,17.003463191036566,34.23094160128686,35.687055565091434,-29.077139382759643,47.46955997797346,-65.76905839871314,1
2023-02-17,19.477388381958008,19.621904373168945,18.522083282470703,18.61043357849121,249597693,19.477388381958008,18.61043357849121,19.621904373168945,18.522083282470703,249597693,18.53361110687256,18.914946630944165,54.820691864367,0.3694582408597604,0.6169805700123625,19.55365381240845,22.12017511511772,16.987132509699176,54.288172939422275,46.77515490268743,-22.547183462884266,46.4021661204179,-45.711827060577725,1
2023-02-18,19.578697204589844,20.032611846923828,19.360095977783203,19.47702980041504,258172528,19.578697204589844,19.47702980041504,20.032611846923828,19.360095977783203,258172528,18.483333396911622,19.035628553425198,55.27415335538656,0.39334269873343075,0.5722529957565762,19.478599739074706,21.948177265474552,17.00902221267486,63.19944291572369,50.572852485477604,9.38217454349509,45.65778384551622,-36.80055708427631,1
2023-02-19,19.80207633972168,20.36556053161621,19.437061309814453,19.572031021118164,288113872,19.80207633972168,19.572031021118164,20.36556053161621,19.437061309814453,288113872,18.67609577178955,19.17498269638819,56.315296042338026,0.42539247338874375,0.5428808912830096,19.481745052337647,21.95280183622859,17.010688268446703,70.61861116185112,62.70207567233236,24.21144225252636,45.16223191991617,-29.381388838148887,1
