Date,close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,146.99755859375,149.7894107206676,146.92826533516197,148.70038717333577,58867200,146.99755859375,148.70038717333577,149.7894107206676,146.92826533516197,58867200,150.9648239135742,149.89021814125778,54.9369783445772,4.5118529705526385,5.376328238516509,147.84357223510742,156.7920210829244,138.89512338729043,45.99430444633545,65.32645445942451,5.96710255623478,67.41032029697234,-54.00569555366455,1
2023-02-22,147.42327880859375,148.4528887502369,145.69075089528818,147.3836697109664,51011300,147.42327880859375,147.3836697109664,148.4528887502369,145.69075089528818,51011300,150.4198959350586,149.44168371713704,55.71400567991018,4.017637212647003,5.104590033342608,148.17014389038087,156.53782992390683,139.80245785685491,17.534922744208703,44.968274659693826,-12.780271619282399,64.90163228563418,-82.4650772557913,1
2023-02-23,147.9083709716797,148.83898834448985,145.7699480861059,148.591484366889,48394200,147.9083709716797,148.591484366889,148.83898834448985,145.7699480861059,48394200,150.1933395385742,149.16289958159933,56.631648293534525,3.623342905785961,4.808340607831278,148.55408477783203,156.09276079668044,141.01540875898363,22.444542692151643,28.65792329423193,-16.6427659599761,62.65571990268506,-77.55545730784836,0
2023-02-24,145.24525451660156,145.72045796846467,144.26513323484133,145.64125487541327,55469600,145.24525451660156,145.64125487541327,145.72045796846467,144.26513323484133,55469600,149.80426635742188,148.45060047887245,50.451082356535885,3.060688869455106,4.458810260156044,148.7010757446289,155.85130356769648,141.5508479215613,9.330882544440376,16.436782660266907,-76.55289342745338,59.92552083359037,-90.66911745555963,1
2023-02-27,146.44317626953125,147.68069636554856,145.97786750491304,146.23528135301038,44998500,146.44317626953125,146.23528135301038,147.68069636554856,145.97786750491304,44998500,149.49835357666015,148.08561425899222,52.939093422218086,2.680544121914437,4.103157032507723,148.81059494018555,155.74889135184702,141.87229852852408,20.735254005432104,17.503559747341374,-45.635807344520224,57.858065300728924,-79.26474599456789,0
2023-02-28,145.93824768066406,147.59157242356576,145.36403664496177,145.58184135182967,50547000,145.93824768066406,145.58184135182967,147.59157242356576,145.36403664496177,50547000,148.86078033447265,147.69518397202347,51.75933518582819,2.311883202969682,3.744902266600115,149.03968353271483,155.2418870264329,142.83748003899677,15.928267927557808,15.331468159143428,-65.66630395868171,55.67264965949755,-84.07173207244219,0
2023-03-01,143.85919189453125,145.7600203967964,143.5621841365181,145.36402012374026,55479000,143.85919189453125,145.36402012374026,145.7600203967964,143.5621841365181,55479000,148.07965545654298,146.99773086702487,47.10454415660873,1.830849449313206,3.3620917031427333,149.10106201171874,155.06823118260783,143.13389284082965,2.650197012209889,13.104572981733265,-125.07106455209386,52.894643291567704,-97.34980298779011,1
2023-03-02,144.45323181152344,145.24524759786468,142.46329007120497,142.93850860687647,52238100,144.45323181152344,142.93850860687647,145.24524759786468,142.46329007120497,52238100,147.14706115722657,146.53509467511552,48.52887005483637,1.4804945707462878,2.985772276663444,149.13579788208008,154.98508704553456,143.2865087186256,16.17063041859387,11.583031786120522,-140.19790057201186,49.886994944572734,-83.82936958140613,1
2023-03-03,149.52210998535156,149.6013130753249,145.85905393614254,146.56195681168307,70732300,149.52210998535156,146.56195681168307,149.6013130753249,145.85905393614254,70732300,146.8817367553711,147.0781883678857,58.73863052352475,1.5934832288041036,2.7073144670915763,149.15757446289064,155.00921096355904,143.30593796222223,57.361261242154356,25.394029557652704,-18.90689195415763,48.239329745248156,-42.638738757845644,1
2023-03-06,152.29417419433594,154.73951510110595,151.92787308169673,152.25456509183923,87558000,152.29417419433594,152.25456509183923,154.73951510110595,151.92787308169673,87558000,147.00845947265626,148.0265494272403,63.05468875883204,1.8849810803774574,2.5428477897487527,149.13606872558594,154.93806501059078,143.3340724405811,79.88756184275591,51.13981783450138,107.82848150556276,47.6808396168071,-20.112438157244085,0
2023-03-07,150.08642578125,152.49215731620518,149.62111707090608,152.16545023619062,56182000,150.08642578125,152.16545023619062,152.49215731620518,149.62111707090608,56182000,147.31734619140624,148.4010724006966,57.86336271670112,1.9157646396217558,2.4174311597233533,149.14108505249024,154.9461850143819,143.33598509059857,61.946994577939286,66.39860588761651,44.39839388390861,46.33529341392788,-38.053005422060714,1
2023-03-08,151.34373474121094,151.93775035888638,150.31412479121082,151.28433620073233,47204800,151.34373474121094,151.28433620073233,151.93775035888638,150.31412479121082,47204800,147.70939178466796,148.93610191715374,59.888732905078044,2.0183488878058142,2.3376147053398455,149.06464385986328,154.70923124214852,143.42005647757804,72.16411707030989,71.33289116366836,58.43269333803258,45.08585765411146,-27.83588292969011,0
2023-03-09,149.08648681640625,152.99704649679572,148.73008049756518,152.02683517023416,53833600,149.08648681640625,152.02683517023416,152.99704649679572,148.73008049756518,53833600,147.82720336914062,148.96344462610872,54.796381603810595,1.8956546735746542,2.249222698986807,149.01027145385743,154.63197327506006,143.3885696326548,53.951412010363775,62.687507886204315,34.049023754363006,43.35861238526327,-46.048587989636225,0
2023-03-10,147.0173797607422,149.43302127956616,146.1362661024609,148.7103138108838,68572400,147.0173797607422,148.7103138108838,149.43302127956616,146.1362661024609,68572400,148.0044158935547,148.60961465058753,50.55303192491592,1.6128668525875582,2.1219515297069576,148.9043411254883,154.59203037885072,143.21665187212585,37.096824784857766,54.40411795517715,-38.2437506607728,40.90836088790632,-62.903175215142234,1
2023-03-13,148.96768188476562,151.61102231566625,146.2253338291279,146.33423617376167,84457100,148.96768188476562,146.33423617376167,151.61102231566625,146.2253338291279,84457100,148.25686645507812,148.67471778407443,54.156635732946796,1.528508850567249,2.003262993879016,148.87761001586915,154.55882831003584,143.19639172170247,52.98364764182822,48.010628145683256,0.6328522521932493,39.161971462044626,-47.01635235817178,1
2023-03-14,151.06655883789062,151.86846949245864,148.6014283229515,149.76964011443394,73695900,151.06655883789062,149.76964011443394,151.86846949245864,148.6014283229515,73695900,148.7696975708008,149.10959797567736,57.72713403543315,1.612429274298421,1.925096249962897,148.81523895263672,154.37016939526453,143.2603085100089,70.08073528899013,53.3870692385587,46.47435898167258,37.601529103316054,-29.91926471100987,1
2023-03-15,151.46253967285156,151.71993837140982,148.42318357477492,149.68050801163758,77167900,151.46253967285156,149.68050801163758,151.71993837140982,148.42318357477492,77167900,149.5300323486328,149.53740555698175,58.38565153543328,1.6913918464003643,1.8783553692503905,148.8048439025879,154.3391030979168,143.270584707259,73.30632649472686,65.4569031418484,48.46582624385592,36.088948315817774,-26.69367350527314,1
2023-03-16,154.29397583007812,154.89788610113325,150.1260024664939,150.64081493684654,76161100,154.29397583007812,150.64081493684654,154.89788610113325,150.1260024664939,76161100,150.51410675048828,150.40223651572654,62.84288062170762,1.9598515396903338,1.8946546033383793,148.83058395385743,154.46109857677484,143.20006933094,95.14330606638445,79.51012261670049,121.45769538404627,35.44368516034145,-4.856693933615554,0
2023-03-17,153.4524688720703,155.17510202547024,152.7396561952458,154.52168788730708,98944600,153.4524688720703,154.52168788730708,155.17510202547024,152.7396561952458,98944600,150.90714263916016,150.95682421687994,60.75994962661447,2.0807199575585855,1.9318676741824206,148.89443969726562,154.70143990364775,143.0874394908835,86.44856327644212,84.96606527918448,137.12890764000946,34.90603234513261,-13.551436723557888,1
2023-03-20,155.82852172851562,156.24434176719376,152.61096953502098,153.52179760346752,73641400,155.82852172851562,153.52179760346752,156.24434176719376,152.61096953502098,73641400,151.2605773925781,151.84258740081367,64.35271101575847,2.341248205604188,2.013743780466774,149.1345184326172,155.6304772860815,142.6385595791529,96.98266831987021,92.85817922089893,147.78197372786295,34.64750007105925,-3.017331680129797,1
2023-03-21,157.68975830078125,157.80855539502778,154.97710883273007,155.7493352646716,73938300,157.68975830078125,155.7493352646716,157.80855539502778,154.97710883273007,73938300,152.02091064453126,152.90570938262596,66.90861167538672,2.6671595999448243,2.1444269443623845,149.66912841796875,157.07043617065196,142.26782066528554,99.22583877346126,94.21902345659119,165.00486915234282,34.74414210487306,-0.7741612265387441,0
2023-03-22,156.25421142578125,160.52117754091816,156.2344068779623,157.70953600837723,75701800,156.25421142578125,157.70953600837723,160.52117754091816,156.2344068779623,75701800,152.51195831298827,153.5145279359269,63.14784425205585,2.777591743944498,2.271059904278807,150.1106750488281,157.96327960345872,142.2580704941975,70.89803475843627,89.03551395058925,159.46848017485365,35.35305249881283,-29.101965241563725,1
2023-03-23,157.34324645996094,159.93709883089704,156.10572637477364,157.24425391701376,67622100,157.34324645996094,157.24425391701376,159.93709883089704,156.10572637477364,67622100,153.33763427734374,154.21065857666036,64.76580495149986,2.9193337769392826,2.4007146788109024,150.5824188232422,158.96485395453868,142.1999836919457,77.90788567205773,82.67725306798509,142.4321137976178,35.85943808960359,-22.09211432794226,1
