Date,close_ko,high_ko,low_ko,open_ko,volume_ko,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,55.84091567993164,56.24244763795857,55.766213965166266,56.01833893151878,14278300,55.84091567993164,56.01833893151878,56.24244763795857,55.766213965166266,14278300,55.8362491607666,55.91747233344552,43.69260814708299,-0.45410149769397634,-0.49967552236628676,56.2284439086914,57.327571815015695,55.12931600236711,34.0739606252168,30.864177183093258,-42.064496581352984,14.229078105866966,-65.9260393747832,1
2023-02-22,56.00900650024414,56.36384948885034,55.794234143550526,55.88761219006283,12409600,56.00900650024414,55.88761219006283,56.36384948885034,55.794234143550526,12409600,55.82784538269043,55.934114909227084,45.56427365828729,-0.41747880225108247,-0.48323617834324595,56.20183086395264,57.29513228002474,55.108529447880535,51.40203810538909,43.80064821162953,-21.829760883038443,13.824184152491624,-48.59796189461091,1
2023-02-23,56.11172103881836,56.41987142307848,55.850259674943835,56.037015756486255,12222800,56.11172103881836,56.037015756486255,56.41987142307848,55.850259674943835,12222800,55.862396240234375,55.966406932789134,46.729531276069366,-0.3758344616930174,-0.4617558350132002,56.162611198425296,57.20873418460941,55.11648821224118,59.9010159968888,48.459004909164896,-6.920179208217209,13.350760946524318,-40.0989840031112,0
2023-02-24,55.878273010253906,55.94363835196594,55.45806469771656,55.7288660060344,9736200,55.878273010253906,55.7288660060344,55.94363835196594,55.45806469771656,9736200,55.88293991088867,55.95038258323727,44.403079808055985,-0.3575467502957679,-0.4409140180697138,56.11732215881348,57.12979456476243,55.10484975286453,47.52479850432505,52.94261753553432,-66.57317040660129,13.484861835854286,-52.47520149567495,0
2023-02-27,55.85959243774414,56.30781341628663,55.78489072239224,56.19575906218693,8849800,55.85959243774414,56.19575906218693,56.30781341628663,55.78489072239224,8849800,55.90161552429199,55.9338752840567,44.21339128512121,-0.3406343525602935,-0.4208580849678297,56.086039543151855,57.089731467846484,55.08234761845723,46.534450332664925,51.3200882779596,-20.509313858994965,12.953799094330305,-53.465549667335075,0
2023-02-28,55.57011413574219,55.74753738650364,55.22461113700493,55.74753738650364,16082200,55.57011413574219,55.74753738650364,55.74753738650364,55.22461113700493,16082200,55.799831771850585,55.86773689345405,41.27110722485957,-0.3465943117299801,-0.40600533032025987,56.033279991149904,57.028939330021664,55.03762065227814,31.1877950321894,41.74901462305979,-111.5887391293523,13.243037742257611,-68.8122049678106,0
2023-03-01,54.96315383911133,55.26196784306496,54.505592891851386,55.215278822849186,13275800,54.96315383911133,55.215278822849186,55.26196784306496,54.505592891851386,13275800,55.7316650390625,55.703267247209915,35.87963105438705,-0.3957324878849846,-0.40395076183320483,55.91842346191406,56.84928083581359,54.98756608801453,19.367655033397103,32.363300132750474,-225.9414427364866,14.334270047867317,-80.6323449666029,1
2023-03-02,55.766212463378906,55.822237857408254,54.90711961277869,54.94447225022731,11758300,55.766212463378906,54.94447225022731,55.822237857408254,54.90711961277869,11758300,55.743804168701175,55.71471183196791,45.9418624285466,-0.36565963036815674,-0.3962925355401952,55.84325313568115,56.538509136310644,55.14799713505166,53.35954726010188,34.638332441896125,-84.99345536102899,14.390073574607344,-46.64045273989812,0
2023-03-03,55.50474548339844,55.728857737548154,55.28997316933265,55.60746345146108,13101800,55.50474548339844,55.60746345146108,55.728857737548154,55.28997316933265,13101800,55.76434669494629,55.67653613222801,43.54579626235723,-0.3587889782338394,-0.3887918240789241,55.80403347015381,56.48254865777799,55.12551828252963,42.29216421263873,38.33978883537924,-73.4507584756059,14.441891135151653,-57.70783578736127,1
2023-03-06,56.36384582519531,56.38252214571264,55.29932049071508,55.33666956960583,16282700,56.36384582519531,55.33666956960583,56.38252214571264,55.29932049071508,16282700,55.78675804138184,55.80150153094933,52.341016337613446,-0.2807850043871625,-0.3671904601405718,55.82877883911133,56.549728885986724,55.107828792235935,78.65619212768469,58.102634533475104,54.130733646024964,13.473089685398516,-21.343807872315317,0
2023-03-07,56.03700637817383,56.559932580550246,55.79422137551465,56.485230872864086,13961200,56.03700637817383,56.485230872864086,56.559932580550246,55.79422137551465,13961200,55.80636711120606,55.844320594081054,49.20053981544381,-0.24254361319404438,-0.3422610907512663,55.82130813598633,56.53027637437227,55.112339897600386,74.54529037952729,65.1645489066169,82.26546009212417,12.699348350202367,-25.454709620472705,1
2023-03-08,56.06502914428711,56.33583043564261,55.775551533306015,56.06502914428711,10851600,56.06502914428711,56.06502914428711,56.33583043564261,55.775551533306015,10851600,55.81196937561035,55.884449421391245,49.48042140855374,-0.20758294515399456,-0.31532546163181197,55.81990737915039,56.526830284449574,55.11298447385121,75.90936693743237,76.37028314821478,62.5624475961411,11.952001307091097,-24.090633062567633,0
2023-03-09,55.5234260559082,56.531925933643144,55.35534274295238,56.531925933643144,13900900,55.5234260559082,56.531925933643144,56.531925933643144,55.35534274295238,13900900,55.753139877319335,55.81880880948523,44.38998462936176,-0.22103129553285328,-0.29646662841202026,55.80776805877686,56.52620674638385,55.08932937116987,49.54551429133289,66.66672386943085,-0.6557005409907881,11.574880463893834,-50.45448570866711,0
2023-03-10,55.28997802734375,56.1584072999947,55.084545635311734,55.74753895378692,13745800,55.28997802734375,55.74753895378692,56.1584072999947,55.084545635311734,13745800,55.69431037902832,55.722657758186784,42.36677525207627,-0.24767151197689685,-0.2867076051249956,55.788625144958495,56.54006930847159,55.0371809814454,38.181861539615376,54.545580922793555,-65.47654237157056,11.6048501628266,-61.818138460384624,1
2023-03-13,55.850257873535156,56.840077897502184,55.32733160050879,55.36468424047006,21956000,55.850257873535156,55.36468424047006,56.840077897502184,55.32733160050879,21956000,55.69337692260742,55.745857779159216,48.44061133563888,-0.2210263204693348,-0.2735713481938634,55.797496223449706,56.547450791565915,55.0475416553335,57.60006932702104,48.442481719323105,47.05454202776171,10.990287563917645,-42.39993067297896,1
