Date,close_^dji,high_^dji,low_^dji,open_^dji,volume_^dji,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,33129.58984375,33699.69140625,33115.73828125,33699.69140625,348320000,33129.58984375,33699.69140625,33699.69140625,33115.73828125,348320000,33879.1234375,33783.14670405599,38.929304397227114,27.33546129030583,113.42149061432502,33898.179296875,34377.16576199707,33419.19283175293,1.136341786998404,18.0926561040251,-249.58416823536035,24.979711315985842,-98.8636582130016,0
2023-02-22,33045.08984375,33245.96875,32948.26953125,33169.328125,321910000,33045.08984375,33169.328125,33245.96875,32948.26953125,321910000,33767.96328125,33648.95454763671,37.82198766966205,-35.052590683088056,83.72667435484242,33863.7357421875,34467.75675922876,33259.71472514624,6.99973736158532,15.318013963985571,-288.75903593846357,24.038745703291262,-93.00026263841468,1
2023-02-23,33153.91015625,33272.3984375,32795.671875,33175.390625,288120000,33153.91015625,33175.390625,33272.3984375,32795.671875,288120000,33688.453125,33558.94647647549,40.18174267911967,-74.85183621002216,52.01097224186951,33834.2392578125,34511.924056124735,33156.554459500265,23.32588945071268,10.487322866432136,-234.9865490815199,23.563279074379818,-76.67411054928732,0
2023-02-24,32816.921875,32999.19140625,32643.48046875,32999.19140625,277120000,32816.921875,32999.19140625,32999.19140625,32643.48046875,277120000,33600.157421875,33424.03291257085,35.66743206589918,-132.06282495664345,15.196212802166919,33777.61484375,34584.31519276252,32970.91449473748,10.275036158518947,13.53355432360565,-224.46795765365917,23.4970283812877,-89.72496384148106,1
2023-02-27,32889.08984375,33189.28125,32814.1796875,32906.16015625,243660000,32889.08984375,32906.16015625,33189.28125,32814.1796875,243660000,33502.139453125,33326.7705364216,37.29222648079268,-169.62427077002212,-21.767883912270893,33723.1654296875,34611.28970479151,32835.04115458349,14.550419438819786,16.05044834935047,-150.6894417713394,22.745302755027357,-85.44958056118021,0
2023-02-28,32656.69921875,32873.46875,32636.4296875,32873.46875,303760000,32656.69921875,32873.46875,32873.46875,32636.4296875,303760000,33343.21640625,33204.939387754035,34.28904405780645,-215.65799731018342,-60.54590659185341,33670.1458984375,34672.63435149745,32667.657445377547,1.1958149932016684,8.673756863513468,-156.94818206308335,22.504245916622093,-98.80418500679833,1
2023-03-01,32661.83984375,32746.150390625,32500.7109375,32656.369140625,292810000,32661.83984375,32656.369140625,32746.150390625,32500.7109375,292810000,33200.4734375,33106.19401611694,34.41486438916951,-248.85658793497714,-98.20804286047816,33598.9359375,34672.92032266245,32524.951552337545,8.801213636770974,8.182482689597478,-140.4657708559152,22.60869656402256,-91.19878636322902,1
2023-03-02,33003.5703125,33083.44921875,32665.849609375,32780.96875,317450000,33003.5703125,32780.96875,33083.44921875,32665.849609375,317450000,33088.025390625,33087.53516091386,42.32130361967392,-244.7703570092781,-127.52050569023817,33544.46640625,34623.19466007287,32465.738152427137,27.46728002833526,12.488102886102636,-86.60554035914876,21.533593727567354,-72.53271997166473,1
2023-03-03,33390.96875,33405.8203125,33008.41015625,33076.328125,300050000,33390.96875,33076.328125,33405.8203125,33008.41015625,300050000,33057.437109375,33142.70490438407,49.7211053528394,-207.87590919559443,-143.59158639130942,33511.3177734375,34565.85969727753,32456.77584959747,48.6278308589766,28.29877484136095,-33.02395562856792,20.376872184897405,-51.3721691410234,1
2023-03-06,33431.44140625,33572.21875,33383.46875,33425.3203125,329190000,33431.44140625,33425.3203125,33572.21875,33383.46875,329190000,33017.912109375,33195.20245017787,50.436515353901825,-173.37245859574614,-149.5477608321968,33486.5892578125,34524.13178915635,32449.04672646864,50.83853595462944,42.31121561398044,-2.147694222327027,19.72528272497778,-49.16146404537056,0
2023-03-07,32856.4609375,33453.25,32838.2109375,33428.30859375,299400000,32856.4609375,33428.30859375,33453.25,32838.2109375,299400000,32990.59921875,33133.61308423644,41.41971490287794,-190.23147391102248,-157.68450344796193,33434.861328125,34489.608198376736,32380.114457873264,21.82813507404913,40.43150062921839,-57.14032035225047,18.94818814409275,-78.17186492595087,0
2023-03-08,32798.3984375,32903.44140625,32612.69921875,32872.078125,242750000,32798.3984375,32872.078125,32903.44140625,32612.69921875,242750000,32965.930078125,33072.66496664799,40.62980163427863,-205.90399048097606,-167.32840085456476,33366.9466796875,34401.76580992604,32332.12754944896,19.32472011258891,30.66379704708916,-89.25877074291746,18.711527977169897,-80.6752798874111,0
2023-03-09,32254.859375,32990.4609375,32190.599609375,32876.828125,315860000,32254.859375,32876.828125,32990.4609375,32190.599609375,315860000,32876.025,32923.97304089381,34.077931984661106,-259.19578491065477,-185.70187766578277,33282.2390625,34387.56109855056,32176.917026449428,3.8803245220800267,15.011059902906021,-121.35394173548013,19.278361771555463,-96.11967547791997,0
2023-03-10,31909.640625,32422.099609375,31783.41015625,32185.140625,397790000,31909.640625,32185.140625,32422.099609375,31783.41015625,397790000,32785.296875,32739.548965276754,30.692591156602873,-325.53363484944566,-213.66822910251537,33192.7271484375,34430.30864419867,31955.145652676336,6.587262112490012,9.930768915719648,-164.59398465311713,20.430370891102715,-93.41273788750999,0
2023-03-13,31819.140625,32240.349609375,31624.869140625,31819.9296875,429090000,31819.140625,31819.9296875,32240.349609375,31624.869140625,429090000,32678.301953125,32572.201994317344,29.8552756402176,-381.01732201118284,-247.13804768424887,33090.220703125,34422.6559704658,31757.7854357842,9.976199622283092,6.814595418951043,-165.2651064427456,21.720094478796646,-90.02380037771691,1
2023-03-14,32155.400390625,32306.58984375,31805.400390625,32055.2890625,391760000,32155.400390625,32055.2890625,32306.58984375,31805.400390625,391760000,32628.1720703125,32496.4198845551,36.75874031523962,-393.3212286890557,-276.3746838852103,32985.69423828125,34266.05581465807,31705.332661904427,27.243759797721864,14.602407177498321,-128.55620903772288,22.709922219624993,-72.75624020227814,0
2023-03-15,31874.5703125,31906.470703125,31429.8203125,31759.869140625,420910000,31874.5703125,31759.869140625,31906.470703125,31429.8203125,420910000,32549.4451171875,32383.356325999623,33.76956771049848,-420.8811478034695,-305.27597666886214,32874.95927734375,34137.34607631042,31612.57247837707,20.759443818442385,19.326467746149117,-158.71400663566914,24.1521369122481,-79.24055618155761,1
2023-03-16,32246.55078125,32281.609375,31571.4609375,31827.650390625,440940000,32246.55078125,31827.650390625,32281.609375,31571.4609375,440940000,32473.7431640625,32358.482590590596,40.653643376316474,-408.00365504064393,-325.8215123432185,32780.88427734375,33931.16763020317,31630.600924484334,38.12224908561156,28.708484233925272,-106.86002843022884,24.3792242402371,-61.87775091438844,0
2023-03-17,31861.98046875,32217.3203125,31728.69921875,32217.3203125,712100000,31861.98046875,32217.3203125,32217.3203125,31728.69921875,712100000,32320.8443359375,32268.209477528668,36.43696443194281,-423.94281065335963,-345.44577200524674,32689.14072265625,33825.169727987115,31553.111717325384,20.1717919825546,26.351161628869516,-107.04206407889143,24.590091044798317,-79.8282080174454,1
2023-03-20,32244.580078125,32280.0703125,31872.330078125,31872.330078125,357210000,32244.580078125,31872.330078125,32280.0703125,31872.330078125,357210000,32202.158203125,32263.913223091637,42.7941508816323,-401.07872942367976,-356.5723634889334,32610.03515625,33632.900572710794,31587.169739789202,38.030263249060084,32.10810143907541,-70.38490568528897,24.59763668143118,-61.969736750939916,1
2023-03-21,32560.599609375,32593.6796875,32346.119140625,32420.7109375,363190000,32560.599609375,32420.7109375,32593.6796875,32346.119140625,363190000,32172.5720703125,32317.856202415882,47.46764080114842,-353.38504244118303,-355.93489927938333,32581.58564453125,33576.33059743209,31586.840691630405,52.7809989534218,36.99435139501216,-12.187108180744332,23.71183189523608,-47.2190010465782,0
2023-03-22,32030.109375,32761.890625,32020.4609375,32570.189453125,325990000,32030.109375,32570.189453125,32761.890625,32020.4609375,325990000,32095.7431640625,32265.538597431176,41.3593129101978,-354.3093229897531,-355.6097840214573,32530.83662109375,33529.37237630475,31532.300865882746,28.019487504877347,39.61024990245308,-41.82291285878106,23.521471456498883,-71.98051249512265,1
2023-03-23,32105.25,32511.490234375,31864.740234375,32101.490234375,335430000,32105.25,32101.490234375,32511.490234375,31864.740234375,335430000,32080.7822265625,32236.395216080055,42.488233756617284,-345.00163740257267,-353.4881546976804,32478.40361328125,33450.33850902794,31506.46871753456,31.526800789127257,37.44242908247546,-53.33198771112859,23.622990084534585,-68.47319921087275,1
2023-03-24,32237.529296875,32257.240234375,31805.1796875,32038.220703125,317070000,32237.529296875,32038.220703125,32257.240234375,31805.1796875,317070000,32113.57109375,32236.60141258822,44.51337136262573,-323.225453930816,-347.43561454430755,32449.433984375,33413.791619555894,31485.076349194107,39.917818215514345,33.15470216983965,-56.99517659948135,23.82405613179919,-60.082181784485655,1
2023-03-27,32432.080078125,32564.0,32276.720703125,32276.720703125,291560000,32432.080078125,32276.720703125,32564.0,32276.720703125,291560000,32174.8650390625,32272.14298814036,47.44454418210895,-286.96114012609905,-335.34071966066585,32426.58349609375,33369.60939496864,31483.55759721886,64.22104804717614,45.22188901727259,-1.1668534845501737,23.112173161117518,-35.77895195282386,0
2023-03-28,32394.25,32551.009765625,32295.5,32434.849609375,248560000,32394.25,32434.849609375,32551.009765625,32295.5,248560000,32198.75,32294.34426302393,46.92544490008857,-258.29650004261566,-319.9318757370558,32413.46103515625,33350.598960893854,31476.32310941865,61.79703847578619,55.31196824615889,-0.37546191620436403,22.451138974055965,-38.20296152421381,1
2023-03-29,32717.599609375,32728.0390625,32539.939453125,32566.5390625,314110000,32717.599609375,32566.5390625,32728.0390625,32539.939453125,314110000,32283.0529296875,32371.299780542307,51.78164248027111,-207.10062800379092,-297.36562619040285,32416.2490234375,33356.65215417188,31475.84589270312,96.67502419283892,74.23103690526709,43.17307376399765,21.32955652870724,-3.3249758071610804,1
2023-03-30,32859.03125,32905.80078125,32682.869140625,32807.4296875,283380000,32859.03125,32807.4296875,32905.80078125,32682.869140625,283380000,32344.3009765625,32459.978229534616,53.77394700250603,-153.34748481235874,-268.561997914794,32409.0220703125,33333.34403456731,31484.700106057695,96.83129064101988,85.10111776988167,72.2659113990659,19.80619122026172,-3.168709358980127,1
2023-03-31,33274.1484375,33291.0,32901.9609375,32901.9609375,353740000,33274.1484375,32901.9609375,33291.0,32901.9609375,353740000,32485.5177734375,32608.00917643741,59.11379537482499,-76.37088775568554,-230.12377588297232,32403.1810546875,33303.780573697186,31502.58153567781,99.09457627260936,97.53363036882273,136.11480107383704,19.31026089415414,-0.9054237273906418,1
2023-04-03,33601.1484375,33632.8984375,33245.78125,33245.78125,311890000,33601.1484375,33245.78125,33632.8984375,33245.78125,311890000,32621.174609375,32788.579951176056,62.76284925495953,10.894205525251891,-181.9201796013275,32411.66640625,33353.12951695236,31470.20329554764,98.55883458513301,98.16156716625409,196.31898615042198,19.531138114065733,-1.441165414866983,0
2023-04-04,33402.37890625,33634.71875,33275.62109375,33594.7890625,283360000,33402.37890625,33594.7890625,33634.71875,33275.62109375,283360000,32705.3525390625,32900.1797611895,59.29840758760329,63.28388346017164,-132.8793669890277,32438.9623046875,33458.81834406393,31419.106265311064,88.73917537874341,95.46419541216193,172.8513049313469,19.739715341094172,-11.260824621256583,1
