Date,close_meta,high_meta,low_meta,open_meta,volume_meta,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,171.27281188964844,177.3342413764533,171.07375308368435,173.49234719121415,34592600,171.27281188964844,173.49234719121415,177.3342413764533,171.07375308368435,34592600,177.22374572753907,173.3501129092988,59.3569745829201,9.4469298750424,11.900957755006917,167.94746170043945,200.84966535335354,135.04525804752535,49.940165443292095,50.74797050876193,21.83083536898532,60.0991271444471,-50.05983455670791,0
2023-02-22,170.3173065185547,171.94961300936373,168.89402164343807,170.26755320801132,22433200,170.3173065185547,170.26755320801132,171.94961300936373,168.89402164343807,22433200,175.18336334228516,172.79869356552715,58.1920501961263,8.578898132054888,11.236545830416512,169.33990020751952,200.09843676240564,138.5813636526334,5.205655388464831,35.56092193192223,3.7357636044189224,58.41730593970914,-94.79434461153518,1
2023-02-23,171.2329559326172,172.8752249165705,168.58544550003143,171.19315025446542,20017800,171.2329559326172,171.19315025446542,172.8752249165705,168.58544550003143,20017800,174.0497039794922,172.51401399590713,59.02201064690419,7.874094319359585,10.564055528205127,170.85973510742187,198.69987134877735,143.0195988660664,9.711522035167883,21.61911428897494,-1.3199993211595866,56.948178261853194,-90.28847796483211,0
2023-02-24,169.59071350097656,169.91916731977852,166.8735239655202,167.84892261131276,19791300,169.59071350097656,167.84892261131276,169.91916731977852,166.8735239655202,19791300,173.30023651123048,171.98250481501066,56.84247374049961,7.101159237152814,9.871476269994664,172.00881881713866,197.55278965670485,146.46484797757248,10.45174289469492,8.456306772775884,-23.166947756013506,55.199077911797175,-89.54825710530507,0
2023-02-27,168.7447052001953,172.3079137499204,168.2669610646023,171.0737401340374,19277000,168.7447052001953,171.0737401340374,172.3079137499204,168.2669610646023,19277000,172.84140167236328,171.3938139759533,55.7013364923621,6.347170584795691,9.16661513295487,172.89464416503907,196.63173117384295,149.15755715623519,7.197549128981671,9.120271352948164,-26.06325666075339,53.8425778905591,-92.80245087101832,1
2023-02-28,174.119384765625,176.717142249163,171.0637783916742,171.09363645113456,46051100,174.119384765625,171.09363645113456,176.717142249163,171.0637783916742,46051100,172.3945083618164,171.88937230134815,61.050971773637094,6.112855673384416,8.555863241040779,174.28210678100587,194.66197780966618,153.90223575234555,31.41997096151804,16.35642099506488,-5.484055104512602,53.035598233602364,-68.58002903848197,0
2023-03-01,172.6065216064453,177.01574930998973,172.23826205816135,173.77103156123624,30998400,172.6065216064453,173.77103156123624,177.01574930998973,172.23826205816135,30998400,171.79135131835938,172.01976308409306,58.894996841055814,5.738929201052031,7.99247643304303,175.49887390136718,192.0718911476777,158.92585665505666,30.331863381212564,22.9831278239041,-19.879337195932365,52.31577827391288,-69.66813661878744,1
2023-03-02,173.7113037109375,174.18904784770294,170.6258392892335,171.57139512593176,17352000,173.7113037109375,171.57139512593176,174.18904784770294,170.6258392892335,17352000,171.5295852661133,172.32731592533747,60.00573206515239,5.4686967287732955,7.487720492189083,176.56435317993163,189.37322810535844,163.75547825450482,49.60288464254415,37.11823966175825,-49.68836503987008,51.23741614850333,-50.39711535745585,1
2023-03-03,184.38101196289062,185.74458057876782,176.21948032775157,178.08070349683496,45877700,184.38101196289062,178.08070349683496,185.74458057876782,176.21948032775157,45877700,172.80457611083983,174.51889702307437,68.77997574896578,6.0457996184113085,7.199336317433528,176.38917846679686,188.6584649189576,164.11989201463612,92.7742858080349,57.56967794393054,68.58622659889194,51.296881550816224,-7.225714191965086,0
2023-03-06,184.03265380859375,188.7703350321703,183.7738788997343,187.11811821575978,33209400,184.03265380859375,187.11811821575978,188.7703350321703,183.7738788997343,33209400,174.00093688964844,176.24867098407788,68.25348001174952,6.401258501193382,7.0397207541855,176.30806045532228,188.35058804762326,164.2655328630213,78.3636018543711,73.58025743498338,116.51289133109074,51.56618920180326,-21.636398145628903,0
2023-03-07,183.64447021484375,189.4670343231199,183.14681568207524,188.11341338650107,36701500,183.64447021484375,188.11341338650107,189.4670343231199,183.14681568207524,36701500,175.23810272216798,177.59336175330805,67.6322072958136,6.575836900439214,6.946943983436243,176.2309242248535,188.06289139108853,164.3989570586185,74.22904180838091,81.7889764902623,117.41957244429736,51.86526838687736,-25.770958191619076,1
2023-03-08,184.10232543945312,184.39095839607606,180.48934854659495,182.01217025459715,19432400,184.10232543945312,182.01217025459715,184.39095839607606,180.48934854659495,19432400,176.61660461425782,178.7768096962435,68.00216641654269,6.674200599812195,6.892395306711434,175.89998397827148,186.38597166755306,165.4139962889899,76.25553179317147,76.2827251519745,96.25777949973298,51.48634774762035,-23.744468206828518,0
2023-03-09,180.83770751953125,188.0437354729427,179.45422851848588,185.4758514347984,26582800,180.83770751953125,185.4758514347984,188.0437354729427,179.45422851848588,26582800,177.57707977294922,179.1515183913867,62.515399228823476,6.414781549015913,6.79687255517233,175.8133918762207,186.10443394172322,165.52234981071817,61.80617059054734,70.76358139736658,97.25594381905324,51.44119344046073,-38.193829409452654,0
2023-03-10,178.66793823242188,183.9032740280053,177.96127724794607,180.16090194224154,25665000,178.66793823242188,180.16090194224154,183.9032740280053,177.96127724794607,25665000,178.48480224609375,179.06359472612036,59.102187568452486,5.965343072650938,6.6305666586680525,175.89251937866212,186.24561525410527,165.53942350321896,52.20266386331786,63.421455415678885,58.521377021565726,51.0312017282725,-47.797336136682134,1
