Date,close_hg=f,high_hg=f,low_hg=f,open_hg=f,volume_hg=f,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,4.234499931335449,4.236999988555908,4.179500102996826,4.179999828338623,406,4.234499931335449,4.179999828338623,4.236999988555908,4.179500102996826,406,4.102800035476685,4.128046865637511,60.79467150101012,0.02623969934682968,0.022266451199853002,4.1374000072479244,4.293453344078897,3.981346670416952,98.91772389677196,71.9324249822245,84.383322641526,36.897370654859344,-1.082276103228044,0
2023-02-22,4.202499866485596,4.203499794006348,4.173999786376953,4.201000213623047,682,4.202499866485596,4.201000213623047,4.203499794006348,4.173999786376953,682,4.114200019836426,4.141583774882617,57.90001139709358,0.030454257813921082,0.023904012522666617,4.135249996185303,4.286394386090991,3.9841056062796154,85.0648787677369,77.22154235475067,65.33872024292003,36.78326447149464,-14.935121232263098,0
2023-02-23,4.072999954223633,4.152500152587891,4.071499824523926,4.151500225067139,306,4.072999954223633,4.151500225067139,4.152500152587891,4.071499824523926,306,4.117150020599365,4.129113989308256,47.94999256774089,0.02307872791038701,0.023738955600210696,4.126900005340576,4.272317499771898,3.981482510909254,29.0042977281078,70.99563346420554,-30.530143842189705,35.110904689477856,-70.9957022718922,0
2023-02-24,3.9549999237060547,4.019499778747559,3.9549999237060547,4.019499778747559,53656,3.9549999237060547,4.019499778747559,4.019499778747559,3.9549999237060547,53656,4.102099990844726,4.097456886471492,41.030838863154685,0.0076240655468380325,0.020515977589536164,4.111299991607666,4.2601526730378385,3.9624473101774935,0.0,38.023058831948234,-159.01279711004858,32.98854920133386,-100.0,1
2023-02-27,4.008999824523926,4.01800012588501,3.934499979019165,3.9570000171661377,8905,4.008999824523926,3.9570000171661377,4.01800012588501,3.934499979019165,8905,4.10024995803833,4.081373784299207,44.94599324527165,-0.0002634876989251467,0.016360084531843903,4.100549983978271,4.246315815377024,3.954784152579519,24.628047324313098,17.87744835080697,-136.70103103590918,31.223328428307926,-75.3719526756869,1
2023-02-28,4.097499847412109,4.100500106811523,4.002999782562256,4.012499809265137,1526,4.097499847412109,4.012499809265137,4.100500106811523,4.002999782562256,1526,4.1012999534606935,4.08430579577428,50.72062431763714,0.0006196389366301958,0.013211995412801162,4.095249986648559,4.23315374187749,3.957346231419628,53.884252315418706,26.17076654657727,-33.80477899663057,29.302783632807195,-46.115747684581294,1
2023-03-01,4.168000221252441,4.181000232696533,4.110000133514404,4.110000133514404,901,4.168000221252441,4.110000133514404,4.181000232696533,4.110000133514404,901,4.107099962234497,4.099522964043036,54.78892346902096,0.006928447302898988,0.011955285790820728,4.0922250032424925,4.220631605952559,3.9638184005324257,77.19016028821456,51.900819975982124,86.54609123568197,28.26454666765403,-22.809839711785443,0
2023-03-02,4.084000110626221,4.175000190734863,4.059999942779541,4.175000190734863,830,4.084000110626221,4.175000190734863,4.175000190734863,4.059999942779541,830,4.110299968719483,4.09670062705816,49.54102097772559,0.005091425690300966,0.010582513770716775,4.0908750057220455,4.219031140413313,3.962718871030778,49.42152955168639,60.165314051773215,25.09966277274023,26.743177405666096,-50.57847044831361,0
2023-03-03,4.078000068664551,4.123000144958496,4.072999954223633,4.079500198364258,663,4.078000068664551,4.079500198364258,4.123000144958496,4.072999954223633,663,4.101549959182739,4.093300525532049,49.17867045989326,0.003115505971918786,0.009089112210957177,4.0900750160217285,4.218342840434481,3.961807191608976,47.43804466821199,58.01657816937097,6.2331180841795115,25.330477376677294,-52.56195533178801,1
2023-03-06,4.100500106811523,4.100500106811523,4.0229997634887695,4.054999828338623,795,4.100500106811523,4.054999828338623,4.100500106811523,4.0229997634887695,795,4.10019998550415,4.0946095403101355,50.636750368916786,0.0033267912188481574,0.007936648012535373,4.091950011253357,4.219675105677973,3.9642249168287416,54.87607357321263,50.57854926437034,-18.02798361129073,23.581996093951027,-45.12392642678737,0
2023-03-07,3.9865000247955322,4.0879998207092285,3.9755001068115234,4.086999893188477,906,3.9865000247955322,4.086999893188477,4.0879998207092285,3.9755001068115234,906,4.075399994850159,4.0749532647620255,43.78273896324674,-0.005639607694022608,0.005221396871223778,4.089100015163422,4.223396954855371,3.9548030754714727,17.19009723536918,39.8347384922646,-99.23424836605793,22.451069168451713,-82.80990276463082,1
2023-03-08,4.041500091552734,4.078999996185303,3.9809999465942383,3.9814999103546143,525,4.041500091552734,3.9814999103546143,4.078999996185303,3.9809999465942383,525,4.059300017356873,4.068870869633063,47.47655240363985,-0.008212825360864429,0.0025345524248061363,4.086750018596649,4.222642095711432,3.9508579414818654,35.371936912475554,35.81270257368579,-70.02427854473603,21.400922737630925,-64.62806308752444,1
2023-03-09,4.054500102996826,4.05649995803833,4.03000020980835,4.046500205993652,584,4.054500102996826,4.046500205993652,4.05649995803833,4.03000020980835,584,4.0574500322341915,4.066258002971929,48.340565105602664,-0.009098247687084893,0.00020799240242793055,4.087300026416779,4.222575095271901,3.9520249575616577,39.66946122131785,30.74383178972086,-50.00842468966685,20.42578676615448,-60.33053877868215,0
2023-03-10,4.045499801635742,4.067500114440918,3.990000009536743,4.01200008392334,591,4.045499801635742,4.01200008392334,4.067500114440918,3.990000009536743,591,4.066500020027161,4.062483784547167,47.75485537881804,-0.010406243661651438,-0.001914854810387943,4.084300005435944,4.220485709862487,3.9481143010094004,36.694155080049526,37.245184404614314,-61.208939582428826,19.969559390374283,-63.305844919950474,1
2023-03-13,4.069499969482422,4.079999923706055,3.946000099182129,4.0229997634887695,842,4.069499969482422,4.0229997634887695,4.079999923706055,3.946000099182129,842,4.07255003452301,4.063759454535395,49.51158279931631,-0.009397893857241435,-0.0034114626197586416,4.0863999962806705,4.220293497990407,3.9525064945709345,50.185904577551234,42.18317362630621,-64.40068763446999,20.00476812921665,-49.814095422448766,0
2023-03-14,4.010499954223633,4.061999797821045,4.000999927520752,4.0395002365112305,923,4.010499954223633,4.0395002365112305,4.061999797821045,4.000999927520752,923,4.063850045204163,4.054075909024165,45.464403284135024,-0.013207331622496099,-0.0053706364203061335,4.082574999332428,4.220491781107058,3.9446582175577976,30.831601213660548,39.23722029042043,-68.67071711248533,20.03746195814171,-69.16839878633945,0
2023-03-15,3.8564999103546143,4.020999908447266,3.8564999103546143,4.020999908447266,875,3.8564999103546143,4.020999908447266,4.020999908447266,3.8564999103546143,875,4.03270001411438,4.018153000175156,36.96975130024736,-0.028326326742973862,-0.00996177448483968,4.069899988174439,4.238571196855517,3.90122877949336,0.0,27.005835263737264,-180.4919066735304,21.326588106495183,-100.0,1
2023-03-16,3.885499954223633,3.9059998989105225,3.8399999141693115,3.9040000438690186,592,3.885499954223633,3.9040000438690186,3.9059998989105225,3.8399999141693115,592,4.012849998474121,3.994034264547606,39.27084257132602,-0.03753549233507236,-0.015476518054886217,4.061574983596802,4.248415414846856,3.874734552346747,13.343107786771487,14.72490300014401,-183.97323522496822,22.640932726634965,-86.65689221322852,1
2023-03-17,3.9135000705718994,3.9590001106262207,3.8965001106262207,3.942500114440918,498,3.9135000705718994,3.942500114440918,3.9590001106262207,3.8965001106262207,498,3.996399998664856,3.9793916838247503,41.49183543429424,-0.042089268149134274,-0.020799068073735827,4.048974978923797,4.240023280738907,3.8579266771086878,21.554277931479543,11.632461906083677,-124.0632561171561,23.022637822422503,-78.44572206852045,1
2023-03-20,3.9755001068115234,3.9825000762939453,3.9240000247955322,3.937000036239624,532,3.9755001068115234,3.937000036239624,3.9825000762939453,3.9240000247955322,532,3.983899998664856,3.9786841243678,46.18504233963645,-0.04023151960657234,-0.024685558380303133,4.042049992084503,4.233208817715857,3.850891166453149,39.73608975716986,24.877825158473627,-79.37240312795375,23.024382307061238,-60.26391024283014,1
2023-03-21,4.018499851226807,4.051499843597412,4.017000198364258,4.051000118255615,571,4.018499851226807,4.051000118255615,4.051499843597412,4.017000198364258,571,3.9870999813079835,3.985923347433074,49.22694383581776,-0.03488736071409804,-0.026725918847062116,4.031249988079071,4.200892737037092,3.8616072391210494,53.28351931153311,38.191295666727505,-3.3085000114103265,22.07037559471047,-46.71648068846689,1
2023-03-22,4.06850004196167,4.080999851226807,4.005000114440918,4.021500110626221,641,4.06850004196167,4.021500110626221,4.080999851226807,4.005000114440918,641,3.989799976348877,4.000937291892819,52.58327040207439,-0.02631414567460144,-0.026643564212569984,4.024549996852874,4.17624479530131,3.872855198404439,80.74202878038466,57.92054594969587,34.15386580081527,20.811053605104775,-19.257971219615346,1
2023-03-23,4.145999908447266,4.145999908447266,4.0854997634887695,4.099999904632568,465,4.145999908447266,4.099999904632568,4.145999908447266,4.0854997634887695,465,3.998949956893921,4.027312313084536,57.295422608173375,-0.01311503746902698,-0.023937858863861385,4.028199994564057,4.187694691888313,3.8687052972398,100.0,78.00851603063926,124.92147067010578,19.765573732781636,-0.0,0
