Date,close_ltc-usd,high_ltc-usd,low_ltc-usd,open_ltc-usd,volume_ltc-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,99.9709243774414,100.4805679321289,98.03994750976562,98.67835998535156,581587515,99.9709243774414,98.67835998535156,100.4805679321289,98.03994750976562,581587515,93.51435546875,94.64637035528622,68.83121572134992,4.776711347556514,4.023936116766573,90.30675392150879,100.0027077940416,80.61080004897597,87.41647644739572,87.36777102397984,168.6067005489956,62.050358301840774,-12.583523552604275,0
2023-02-04,98.6144790649414,101.08512115478516,98.52680206298828,99.96023559570312,412470764,98.6144790649414,99.96023559570312,101.08512115478516,98.52680206298828,412470764,94.43770217895508,95.36784466613261,65.84335849548319,4.809306554279061,4.181010204269071,90.86920127868652,101.10734737165,80.63105518572304,78.93510600997489,82.93289439637535,137.4730081499466,62.44667818837611,-21.064893990025116,0
2023-02-05,96.45875549316406,98.81040954589844,95.21514892578125,98.6142349243164,467715468,96.45875549316406,98.6142349243164,98.81040954589844,95.21514892578125,467715468,95.32463226318359,95.56619208922925,61.28992541497785,4.608070644369718,4.2664222922892,91.40042343139649,101.64100201155446,81.15984485123852,65.4561326931471,77.26923838350591,83.89648397378942,61.19305323042529,-34.5438673068529,0
2023-02-06,96.06245422363281,97.8489990234375,95.40951538085938,96.46707916259766,454784285,96.06245422363281,96.46707916259766,97.8489990234375,95.40951538085938,454784285,96.04629669189453,95.6564215682117,60.46212156497991,4.366279780126348,4.28639378985663,91.8476749420166,102.08229283504542,81.61305704898777,62.97820170636823,69.12314680316341,69.34666306462125,60.02897291232811,-37.02179829363177,1
2023-02-07,100.92766571044922,101.16192626953125,95.97954559326172,96.04475402832031,723164903,100.92766571044922,96.04475402832031,101.16192626953125,95.97954559326172,723164903,97.17886962890626,96.61482959407306,66.45256079507385,4.515192358027846,4.332153503490874,92.75529174804687,102.82902426301358,82.68155923308016,93.3986399620277,73.944324787181,101.15472491552724,59.48261599193837,-6.601360037972299,0
2023-02-08,99.2076187133789,102.02371978759766,97.43045043945312,100.92325592041016,627006188,99.2076187133789,100.92325592041016,102.02371978759766,97.43045043945312,627006188,97.5946258544922,97.0862457975832,62.82826492094112,4.443194846839333,4.354361772160566,93.50405921936036,103.1495554822952,83.85856295642552,82.03652729814016,79.47112298884535,94.33630921313245,59.099957760942985,-17.963472701859846,0
2023-02-09,92.09846496582031,99.3779296875,90.92083740234375,99.21289825439453,835624265,92.09846496582031,99.21289825439453,99.3779296875,90.92083740234375,835624265,97.67822875976563,96.17937655544449,50.55549558187712,3.769039861381117,4.237297390004676,93.58432121276856,103.15468927399692,84.01395315154019,36.688336337692576,70.70783453262014,7.10018172638803,56.216112271651454,-63.311663662307424,1
2023-02-10,93.52928161621094,94.0442886352539,91.3700942993164,92.09505462646484,636744666,93.52928161621094,92.09505462646484,94.0442886352539,91.3700942993164,636744666,97.60034561157227,95.69754111194747,52.56388258854201,3.3120429547269907,4.0522465029491395,93.84505271911621,103.10608631295614,84.58401912527628,41.49096785212239,53.40527716265171,-15.367287292561475,53.53825574588074,-58.50903214787761,1
2023-02-11,94.43054962158203,94.70785522460938,93.03905487060547,93.53056335449219,410760115,94.43054962158203,93.53056335449219,94.70785522460938,93.03905487060547,410760115,96.99903793334961,95.46717902279012,53.8358867283184,2.9881488892044814,3.8394269802002077,94.1850814819336,102.99685692866625,85.37330603520094,39.371056309113484,39.183453499642816,-2.110292186977634,51.20513875140041,-60.628943690886516,0
2023-02-12,92.39573669433594,94.52456665039062,91.60399627685547,94.42091369628906,367491351,92.39573669433594,94.42091369628906,94.52456665039062,91.60399627685547,367491351,96.36959304809571,94.90873496307117,50.54072970525632,2.538011494508197,3.5791438830618056,94.30357208251954,102.95064443860933,85.65649972642974,23.1237504157666,34.66192485900083,-27.95536518292009,48.53793226438302,-76.8762495842334,0
