Date,close_msft,high_msft,low_msft,open_msft,volume_msft,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,248.7143096923828,251.49016824327242,247.6512158869296,250.49597073877874,28397400,248.7143096923828,250.49597073877874,251.49016824327242,247.6512158869296,28397400,260.13182067871094,256.57912948049193,48.545538944344464,5.487910240626377,6.9409219769177275,252.88991012573243,272.29714220883494,233.48267804262994,25.033169541387245,43.75378566253193,-26.047287940156007,19.248364276488932,-74.96683045861275,0
2023-02-22,247.57244873046875,250.35814511839848,246.42076761233298,250.1120590242694,22491100,247.57244873046875,250.1120590242694,250.35814511839848,246.42076761233298,22491100,258.6177459716797,254.9415511623059,47.48529674318754,4.406667576153694,6.434071096764921,253.38575973510743,271.68588415358835,235.0856353166265,4.54747434380475,25.394420159104516,-41.31587051762217,18.028542259636925,-95.45252565619525,1
2023-02-23,250.78143310546875,252.8190182527777,246.55858711540606,251.559058591663,29219100,250.78143310546875,251.559058591663,252.8190182527777,246.55858711540606,29219100,257.5060699462891,254.18516606106277,50.741250319838414,3.7653090561120734,5.900318688634352,254.11226348876954,270.7081148381632,237.51641213937583,17.218320366360196,15.599654750517397,-36.06800962174424,17.19759138450139,-82.78167963363981,0
2023-02-24,245.31829833984375,247.07043006861863,244.21583748216142,246.04671856075686,24990900,245.31829833984375,246.04671856075686,247.07043006861863,244.21583748216142,24990900,256.1534484863281,252.5730082935684,45.56208393907741,2.7841050598916013,5.277075962885801,254.20280380249022,270.5846236353838,237.82098396959663,4.004483778156708,8.590092829440552,-80.29776451555266,16.10381567634575,-95.99551622184329,1
2023-02-27,246.2436065673828,248.86196635972186,245.48565714962064,248.50760176361655,21190000,246.2436065673828,248.50760176361655,248.86196635972186,245.48565714962064,21190000,254.9444107055664,251.42220797971646,46.55707259853532,2.0574415589539967,4.6331490820994405,254.33175354003907,270.4176658535041,238.24584122657404,7.365493614610059,9.529432586375654,-71.02551314539599,15.324590790200801,-92.63450638538994,0
2023-02-28,245.51516723632812,247.55276726085282,244.83596722815324,245.17065572399935,22491000,245.51516723632812,245.17065572399935,247.55276726085282,244.83596722815324,22491000,252.8554244995117,250.34820057182768,45.84665140918344,1.4065625553551797,3.9878317767505886,254.69184494018555,269.6071535565356,239.77653632383547,4.719573386011478,5.363183592926082,-86.85335939519754,14.503316980179338,-95.28042661398852,0
2023-03-01,242.4145050048828,247.00153859615037,241.9420088680049,246.8342018468034,27565300,242.4145050048828,246.8342018468034,247.00153859615037,241.9420088680049,27565300,250.37291259765624,248.90571046874675,42.84941567968377,0.6332391402794997,3.316913249456371,254.64652404785156,269.7045868892707,239.58846120643244,1.6846655396506536,4.589910846757397,-110.99965399615716,13.629474227817823,-98.31533446034935,1
2023-03-02,247.17874145507812,247.46419474376637,241.76484684833787,242.69013305703822,24808200,247.17874145507812,242.69013305703822,247.46419474376637,241.76484684833787,24808200,248.58042602539064,248.59171610262516,48.42831047120759,0.40019562147188026,2.733569723859473,254.59688873291014,269.7462661011809,239.4475113646394,19.181853673060616,8.528697532907582,-92.82425166147353,12.744942310069495,-80.81814632693938,1
2023-03-03,251.2932891845703,251.61812465694902,247.4543518199206,248.24183038751409,30760100,251.2932891845703,248.24183038751409,251.61812465694902,247.4543518199206,30760100,247.90516815185546,249.08291120843336,52.720816779132115,0.5412770638302788,2.295111191853634,254.17121353149415,269.1889686964622,239.15345836652608,33.76001933954447,18.208846184085246,-42.60078348191877,12.38364404744706,-66.23998066045553,1
2023-03-06,252.84852600097656,256.04764510840005,251.972460138509,252.41541208786404,24109800,252.84852600097656,252.41541208786404,256.04764510840005,251.972460138509,24109800,247.78803253173828,249.76756844344118,54.27019704439325,0.769707033210949,1.9900303601250973,254.13014068603516,269.15764468084126,239.10263669122907,39.27034549220365,30.737406168269576,-7.460976920845072,12.65476940569199,-60.72965450779635,0
2023-03-07,250.17111206054688,253.65569949180863,249.42301575717852,252.2874464179105,21473200,250.17111206054688,252.2874464179105,253.65569949180863,249.42301575717852,21473200,247.9337127685547,249.84094001018767,51.161792860115085,0.7263219138799286,1.7372886708760635,254.03276672363282,269.1361923255156,238.92934112175007,33.996727541961754,35.67569745790329,-31.839673593072842,12.458847903240073,-66.00327245803825,0
2023-03-08,249.72817993164062,250.55502565152239,246.88342511783708,250.06285343446362,17340200,249.72817993164062,250.06285343446362,250.55502565152239,246.88342511783708,17340200,248.14928588867187,249.82043817772455,50.64499705055335,0.6487199335924174,1.5195749234193345,253.38351593017578,268.0485519764208,238.7184798839307,38.28680494319031,37.184625992451906,-47.40082510676478,11.847430314014629,-61.71319505680969,0
2023-03-09,248.36976623535156,255.4964095052503,247.6413460307902,251.81497135817295,26653400,248.36976623535156,251.81497135817295,255.4964095052503,247.6413460307902,26653400,247.90811920166016,249.55667964274764,49.00992528121414,0.47216435578746996,1.3100928098929616,252.70709457397462,266.98157143615674,238.43261771179246,46.24387509191732,39.509135859023125,-27.850249012245754,11.98563685489977,-53.75612490808268,0
2023-03-10,244.6981658935547,248.8324092868265,243.72367456979757,247.1491888076624,28333900,244.6981658935547,247.1491888076624,248.8324092868265,243.72367456979757,28333900,247.84610595703126,248.67331350653072,44.79989429251678,0.03556535040334552,1.0551873179950386,251.9997772216797,266.3891658544386,237.61038858892078,20.537425452679113,35.022701829262246,-75.29793174545202,11.457927183137116,-79.46257454732088,1
2023-03-13,249.9447479248047,253.87228779720158,241.88296425088225,243.52681772592126,33339700,249.9447479248047,243.52681772592126,253.87228779720158,241.88296425088225,33339700,248.21622009277343,248.90448340076233,51.24494910974214,0.1116260597844132,0.8664750663529136,251.58031539916993,265.693107659115,237.46752313922482,57.270997794176004,41.35076611292415,-39.06681588347763,11.653328400164217,-42.729002205823996,1
